,Artist,Current Ranking,Last Week's Ranking,Num Weeks in TOP 100,Peak Position,Song Title
0,Loco x Hwa Sa,1,81,2 ,1 ,Don't Give It To Me
1,TWICE,2,1,2 ,1 ,What Is Love?
2,Nilo,3,2,2 ,2 ,Pass By
3,"HAON Feat. Sik-K, Prod. GroovyRoom",4,3,2 ,3 ,Boong Boong
4,Wanna One,5,6,5 ,5 ,We Are
5,BIGBANG,6,5,7 ,2 ,Flower Road
6,MOMOLAND,7,10,16 ,2 ,Bboom Bboom
7,WINNER,8,4,4 ,3 ,Everyday
8,iKON,9,9,14 ,1 ,Love Scenario
9,MAMAMOO,10,7,8 ,1 ,Starry Night
10,Hwang ChiYeul,11,--,1 ,11 ,The Only Star
11,"Yong Jun Hyung, 10cm",12,14,5 ,9 ,Sudden Shower
12,Jang Deok Cheol,13,12,20 ,1 ,Good Old Days
13,HAON Feat. Vinxen (Prod. GroovyRoom),14,8,5 ,4 ,Bar Code
14,Roy Kim,15,15,11 ,2 ,Only Then
15,EXO-CBX,16,19,2 ,16 ,Blooming Day
16,Melomance,17,17,20 ,2 ,Gift
17,Lee Soo,18,13,11 ,13 ,My Way
18,Chung Ha,19,18,15 ,6 ,Roller Coaster
19,Melomance,20,--,1 ,20 ,Just Friends
20,"Vinxen Feat. Woo Won Jae, Prod. GroovyRoom",21,11,2 ,11 ,No
21,Red Velvet,22,24,13 ,2 ,Bad Boy
22,"Heize, Gaeko",23,21,8 ,4 ,Jenga
23,Wanna One,24,23,5 ,1 ,Boomerang
24,"WEBSTER B Feat. CHIN CHILLA, SLO",25,20,7 ,13 ,Drum
25,Lovelyz,26,--,1 ,26 ,That day
26,MoonMoon,27,25,20 ,4 ,Contrail
27,Paul Kim,28,27,5 ,27 ,"Every day, Every Moment"
28,"HAON Feat. PULLIK, Godic",29,22,5 ,16 ,The little Prince
29,"WEBSTER B Feat. ELO, Jessi, Prod. Padi",30,16,2 ,16 ,As A Result
30,Jung Sueung Hwan,31,30,11 ,6 ,The Snowman
31,GB9,32,29,20 ,16 ,Star
32,IU,33,36,20 ,21 ,Through The Night
33,DEAN,34,31,18 ,2 ,Instagram
34,TWICE,35,39,20 ,1 ,Heart Shaker
35,Monday Kiz,36,33,20 ,28 ,When Autumn Comes
36,Punch,37,32,20 ,10 ,At Night
37,Nilo,38,34,4 ,34 ,Sorrow In Vain
38,Woo Won Jae Feat. Loco & GRAY,39,45,20 ,20 ,We Are 
39,Red Velvet,40,41,20 ,40 ,Red Flavor
40,Whee In Feat. Sik-K,41,38,2 ,38 ,Easy
41,Vinxen (Prod. BOYCOLD),42,28,4 ,28 ,Fault
42,Yoon Jong-Shin,43,35,20 ,10 ,Like It
43, Heize Feat. Shin Yong Jae,44,55,20 ,30 ,"You, Clouds, Rain "
44,HEIZE,45,37,8 ,8 ,Didn't Know Me
45,BTS,46,53,20 ,28 ,Spring Day
46,Park Won,47,47,20 ,17 ,All My Life
47,BTOB,48,50,20 ,16 ,Missing You
48,BTS,49,51,20 ,18 ,DNA
49,Sunmi,50,54,15 ,2 ,Heroine
50,TWICE,51,52,20 ,9 ,Likey
51,Bolbbalgan4,52,40,16 ,2 ,#FirstLove
52,4Men,53,43,20 ,30 ,Breakup In The Morning
53,Wanna One,54,48,8 ,4 ,I Promise You (I.P.U.)
54,MoonMoon,55,58,7 ,55 ,Marriage
55,"WEBSTER B & Clloud Feat. Haeng-ju, Boy B",56,42,5 ,27 ,Like It
56,WINNER,57,56,20 ,47 ,Really Really
57,Melomance,58,63,20 ,50 ,Deepen
58,Wanna One,59,60,20 ,31 ,Energetic
59,Ailee,60,64,20 ,30 ,I Will Go To You Like The First Snow
60,Yang Da Il,61,65,17 ,41 ,Lie
61,HAON Prod. BOYCOLD,62,46,2 ,46 ,Adios
62,Hyolyn Featuring Gray,63,--,1 ,63 ,Dally
63,Wanna One,64,61,20 ,8 ,Beautiful
64,Busker Busker,65,49,7 ,25 ,Cherry Blossom Ending
65,Bolbbalgan4,66,59,20 ,15 ,Some
66,Park Won,67,67,20 ,42 ,Try
67,BLACKPINK,68,66,20 ,43 ,As If It's Your Last
68,Naul,69,68,20 ,2 ,Emptiness In Memory
69,WINNER,70,57,4 ,26 ,Air
70,Park Bo ram,71,71,11 ,68 ,Will Be Fine
71,"LOCO, Jay Park",72,90,7 ,37 ,Above Live
72,Red Velvet,73,69,20 ,7 ,Peek-A-Boo
73,"Yoon Jong Shin, Minseo",74,70,20 ,6 ,Yes
74,EXID,75,44,4 ,37 ,Lady
75,GB9,76,76,20 ,60 ,I Hope It's Breeze
76,EXO,77,85,16 ,1 ,Universe
77,Sondia,78,91,2 ,78 ,Adult
78,Huh Gak,79,74,20 ,29 ,Only You
79,"CHIN CHILLA, Feat. hangzoo, Boi B",80,72,4 ,54 ,Young Wave
80,Paul Kim,81,98,8 ,81 ,Rain
81,"HAON Feat. VINXEN, WEBSTER B",82,--,1 ,82 ,Graduation
82,EXO-CBX,83,92,2 ,83 ,Playdate
83,10cm,84,86,20 ,60 ,Phonecert
84,Urban Zakapa,85,79,20 ,10 ,When We Were Two
85,Bolbbalgan4,86,83,20 ,26 ,To My Youth
86,Sunmi,87,88,20 ,24 ,Gashina
87,IU Featuring G-DRAGON,88,87,20 ,50 ,Palette
88,Davichi,89,84,14 ,14 ,Days Without You
89,High4 With IU,90,75,5 ,63 ,"ot Spring, Love, or Cherry Blossoms"
90,EXO-CBX,91,96,2 ,91 ,Sweet Dreams!
91,EXO-CBX,92,99,2 ,92 ,Vroom Vroom
92,HEIZE,93,80,8 ,14 ,But Are You?
93,Yun Ddan Ddan,94,--,1 ,94 ,In My Room
94,BTS,95,97,20 ,52 ,Go Go
95,Davichi,96,--,3 ,88 ,Because It's You
96,10cm,97,77,5 ,64 ,What the Spring
97,EPIK HIGH Feat. IU,98,93,20 ,13 ,Love Story 
98,EXO-CBX,99,--,1 ,99 ,Monday Blues
99,Kim Dong Ryul,100,95,16 ,3 ,Reply
